CODE;NAME;CODECITY;LONGITUDE;LATITTUDE;CATEGORY
AAH;AACHEN/MERZBRUCK;1;50.823055;6.186111;AIRPORT
ZIU;RAILWAY;1;50.770832;6.105278;AIRPORT
AAL;AALBORG;2;57.1;9.85;AIRPORT
YXX;ABBOTSFORD;6;49.025276;-122.36056;AIRPORT
ABZ;DYCE;8;57.2;-2.2;AIRPORT
ABR;MUNICIPAL;8;45.45;-98.433334;AIRPORT
AHB;ABHA;9;18.216667;42.5;AIRPORT
ABJ;FELIX HOUPHOUET BOIGNY;10;5.25;-3.933333;AIRPORT
AUH;ABU DHABI INTERNATIONAL;15;24.433056;54.65111;AIRPORT
AZI;BATEEN;15;24.428333;54.458057;AIRPORT
ABV;NNAMDI AZIKIWE INTERNATIONAL AIRPORT;16;9.006667;7.263056;AIRPORT
AGV;ACARIGUA;19;9.55;-69.23333;AIRPORT
ADA;ADANA;24;36.982224;35.280277;AIRPORT
UAB;ADANA-INCIRLIK AIRBASE;24;38.63333;28.883333;AIRPORT
XHX;ADELAIDE KESWICK RAIL;26;-33.1375;136.30305;AIRPORT
ADE;INTERNATIONAL;27;16.03861;49.484444;AIRPORT
ADF;ADIYAMAN;28;37.916668;34.65;AIRPORT
AGA;AGADIR ALMASSIRA;31;30.383333;-9.55;AIRPORT
NGM;AGANA NAS;32;13.449722;144.75;AIRPORT
AGR;KHERIA;36;27.15;77.96667;AIRPORT
AGU;AGUASCALIENTS;39;21.866667;-102.25;AIRPORT
AJL;AIZAWL;46;23.733334;92.71667;AIRPORT
AXT;AKITA;52;39.615555;140.21861;AIRPORT
AAC;AL ARISH INTERNATIONAL AIRPORT;58;31.073334;33.835835;AIRPORT
AKH;PRINCE SULTAN AIR BASE;67;24.062778;47.580555;AIRPORT
ABC;LOS LLANOS;94;38.983334;-1.85;AIRPORT
CVO;ALBANY;95;44.5;-123.28333;AIRPORT
ALB;ALBANY INTERNATIONAL;95;42.733334;-73.8;AIRPORT
ABQ;ALBUQUERQUE INTERNATIONAL;97;35.04028;-106.60917;AIRPORT
ALC;ALICANTE EL ALTET;106;38.282223;-0.558056;AIRPORT
IXD;BAMRAULI;109;25.433332;81.73333;AIRPORT
AOR;ALOR SETAR;120;6.189722;100.398056;AIRPORT
ATM;ALTAMIRA;121;-3.253889;-52.253887;AIRPORT
TDW;TRADEWIND;126;35.166668;-101.833336;AIRPORT
ATF;CHACHOAN;129;-1.2;-78.566666;AIRPORT
AMM;QUEEN ALIA INTL;136;31.966667;35.983334;AIRPORT
ATQ;RAJA SANSI;140;31.709723;74.79722;AIRPORT
AMS;AMSTERDAM-SCHIPHOL;142;52.308613;4.763889;AIRPORT
ANA;ORANGE COUNTY STEEL SALVAGE HELIPORT;143;33.84833;-117.85028;AIRPORT
APS;ANAPOLIS;147;-16.362223;-48.926945;AIRPORT
EDF;ELMENDORF AFB;148;61.25139;-149.8064;AIRPORT
ANE;MARCE;158;47.56028;-0.312222;AIRPORT
ESB;ESENBOGA;163;40.13333;33.0;AIRPORT
ANK;ETIMESGUT;163;39.949444;32.683056;AIRPORT
AAE;LES SALINES;165;36.833332;8.0;AIRPORT
AOG;ANSHAN;168;41.166668;123.03333;AIRPORT
TNR;ANTANANARIVO;171;-18.796944;47.47889;AIRPORT
ANF;CERRO MORENO;173;-23.439444;-70.44278;AIRPORT
AZG;APATZINGAN;181;19.083332;-102.38333;AIRPORT
FGI;FAGALI I;183;-14.166667;-171.66667;AIRPORT
APU;APUCARANA;185;-23.55;-51.483334;AIRPORT
AJU;SANTA MARIA;189;-10.983611;-37.06778;AIRPORT
AQA;ARARAQUARA;196;-21.811943;-48.133057;AIRPORT
ARE;ARECIBO;202;18.45;-66.666664;AIRPORT
ARI;CHACALLUTA;209;-18.5;-70.316666;AIRPORT
ARK;ARUSHA;215;-3.367778;36.63333;AIRPORT
AKJ;ASAHIKAWA;218;43.5;142.50833;AIRPORT
ASB;ASHGABAT;222;37.95;58.38333;AIRPORT
ASU;SILVIO PETTIROSSI;229;-25.266666;-57.666668;AIRPORT
JGL;GALLERIA HELIPORT;236;33.885;-84.462776;AIRPORT
JAJ;PERIMETER MALL;236;9.716667;-82.98333;AIRPORT
JAE;TECHNOLOGY PARK;236;9.716667;-82.98333;AIRPORT
NJA;ATSUGI NAS;238;35.454723;139.45027;AIRPORT
AUM;AUSTIN;244;43.666668;-92.933334;AIRPORT
AUS;AUSTIN-BERGSTROM INTERNATIONAL;244;30.194445;-97.67;AIRPORT
AYC;AYACUCHO;248;8.6;-73.61667;AIRPORT
AYP;YANAMILLA;248;-13.197222;-74.24722;AIRPORT
BJZ;TALAVERAL LA REAL;256;38.88333;-6.816667;AIRPORT
BFX;BAFOUSSAM;258;5.483333;10.4;AIRPORT
WGB;BAHAWALNAGAR;263;30.0;73.25;AIRPORT
BHV;BAHAWALPUR;264;29.4;71.683334;AIRPORT
BFL;MEADOWS FIELD;274;35.433613;-119.05666;AIRPORT
BWO;BALAKOVO;276;51.86667;47.75;AIRPORT
BZI;BALIKESIR;278;39.61667;27.933332;AIRPORT
MQJ;MERKEZ;278;37.516666;36.45;AIRPORT
GBO;BALTIMORE GREENBELT T;283;39.18611;-76.683334;AIRPORT
BPC;BAMENDA;286;6.05;10.116667;AIRPORT
TKG;BRANTI;291;-5.242222;105.17889;AIRPORT
BWN;BANDAR SERI BEGWAN INTERNATIONAL AIRPORT;292;4.944167;114.92833;AIRPORT
BDM;BANDIRMA;293;40.316666;27.983334;AIRPORT
BLR;BANGALORE INTERNATIONAL AIRPORT;295;12.966667;77.6;AIRPORT
DMK;DON MUANG;296;13.9125;100.60667;AIRPORT
BKK;SUVARNABHUMI INTERNATIONAL;296;13.681111;100.74722;AIRPORT
BGF;BANGUI;297;4.383333;18.566668;AIRPORT
BDJ;SJAMSUDIN NOOR;301;-3.283333;114.683334;AIRPORT
BAV;BAOTOU;308;40.666668;109.98333;AIRPORT
BNS;BARINAS;319;8.616667;-70.21667;AIRPORT
BZL;BARISAL;320;22.666668;90.34167;AIRPORT
BRM;BARQUISIMETO;323;10.042778;-69.35861;AIRPORT
BAQ;E CORTISSOZ;328;10.883333;-74.78333;AIRPORT
BRA;BARREIRAS;329;-12.05;-45.0;AIRPORT
BAT;AIRPORT CHAFEI AMSEI;330;-20.58361;-48.585278;AIRPORT
BBR;BAILLIF;336;16.166668;-61.75;AIRPORT
BAL;BATMAN;343;37.86667;41.11667;AIRPORT
BLJ;BATNA;344;35.55;6.166667;AIRPORT
EBR;DOWNTOWN;345;6.45;17.366667;AIRPORT
BTR;RYAN;345;30.533333;-91.15;AIRPORT
BMT;BEAUMONT MUNI;357;18.5;-73.95;AIRPORT
BPT;JEFFERSON COUNTY;357;30.083332;-94.1;AIRPORT
CBH;LEGER;359;31.65;-2.25;AIRPORT
BEW;BEIRA;363;-19.8;34.9;AIRPORT
BJA;BEJAIA;364;36.75;5.083333;AIRPORT
BEL;VAL DE CANS;366;-1.383611;-48.468613;AIRPORT
BHD;GEORGE BEST BELFAST CITY;367;54.618057;-5.8725;AIRPORT
