ENGLISH;FRENCH;GERMAN;ITALIAN;PORTUGUESE;SPANISH;CATEGORY
ADDICTION;TOXICOMANIE;DIPENDENZA;DIPENDENZA;VÍCIO;ADICCIÓN;SPECIALITY_FIELD
ADULT PSYCHIATRY;PSYCHIATRIE ADULTE;ERWACHSENENPSYCHIATRIE;ADULT PSICHIATRIA;PSIQUIATRIA ADULTO;PSIQUIATRÍA DE ADULTOS;SPECIALITY_FIELD
AESTHETIC MEDICINE;MÉDECINE ESTHÉTIQUE;ÄSTHETISCHE MEDIZIN;MEDICINA ESTETICA;MEDICINA ESTÉTICA;MEDICINA ESTÉTICA;SPECIALITY_FIELD
ALCOHOLISM;ALCOOLISME;ALKOHOLISMUS;ALCOLISMO;ALCOOLISMO;ALCOHOLISMO;SPECIALITY_FIELD
ALLERGOLOGY;ALLERGOLOGIE;ALLERGOLOGIE;ALLERGOLOGIA;ALERGOLOGIA;ALERGOLOGÍA;SPECIALITY_FIELD
AMNIOCENTESIS;AMNIOCENTÈSE;FRUCHTWASSERUNTERSUCHUNG;AMNIOCENTESI;AMNIOCENTESE;AMNIOCENTESIS;SPECIALITY_FIELD
ANAESTHESIOLOGY AND RESUSCITATION;ANESTHESIOLOGIE ET DE RÉANIMATION;ANÄSTHESIOLOGIE UND RESUSCITATION;ANESTESIOLOGIA E RIANIMAZIONE;ANESTESIOLOGIA E REANIMAÇÃO;ANESTESIOLOGÍA Y REANIMACIÓN;SPECIALITY_FIELD
ANDROLOGY;ANDROLOGIE;ANDROLOGIE;ANDROLOGIA;ANDROLOGIA;ANDROLOGÍA;SPECIALITY_FIELD
ANESTHESE_REANIMATION;ANESTHESIE REANIMATION;ANESTHÉSIE REANIMATION;ANESTHÉSIE RIANIMAZIONE;ANESTHÉSIE REANIMAÇÃO;REANIMACIÓN ANESTHESIE;SPECIALITY_FIELD
ANESTHESIA;ANESTHESIE;ANESTHESIA;ANESTESIA;ANESTESIA;ANESTESIA;SPECIALITY_FIELD
ANESTHESIOLOGY;ANESTHÉSIOLOGIE;ANESTHESIOLOGY;ANESTESIOLOGIA;ANESTESIOLOGIA;ANESTESIOLOGÍA;SPECIALITY_FIELD
ANGIOLOGY;ANGIOLOGIE;ANGIOLOGIE;ANGIOLOGIA;ANGIOLOGIA;ANGIOLOGÍA;SPECIALITY_FIELD
